#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        32.403            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.146            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.244            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.048            
GPU 0     100               73                0.000        0.000        0.000        0.000        0.000        169.944           
GPU 0     41                18                0.234        0.210        0.105        0.043        0.088        65.821            
GPU 0     27                10                0.398        0.357        0.178        0.069        0.179        87.952            
GPU 0     68                43                0.403        0.368        0.184        0.072        0.186        170.131           
GPU 0     62                38                0.462        0.439        0.232        0.094        0.237        164.808           
GPU 0     0                 0                 0.486        0.467        0.248        0.098        0.251        69.964            
GPU 0     0                 0                 0.417        0.395        0.203        0.078        0.200        69.768            
GPU 0     100               75                0.513        0.495        0.264        0.105        0.269        94.189            
GPU 0     31                3                 0.454        0.432        0.224        0.090        0.228        70.757            
GPU 0     0                 0                 0.415        0.391        0.200        0.080        0.203        70.854            
GPU 0     0                 0                 0.511        0.491        0.259        0.107        0.260        70.854            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.411        0.389        0.200        0.077        0.201        71.354            
GPU 0     0                 0                 0.492        0.473        0.252        0.098        0.255        71.354            
GPU 0     3                 1                 0.473        0.455        0.241        0.100        0.247        197.448           
GPU 0     100               75                0.495        0.477        0.253        0.102        0.258        161.692           
GPU 0     99                63                0.465        0.443        0.230        0.088        0.231        159.488           
GPU 0     64                40                0.418        0.398        0.209        0.085        0.214        168.959           
GPU 0     0                 0                 0.441        0.422        0.222        0.088        0.223        171.417           
GPU 0     63                40                0.429        0.404        0.207        0.082        0.207        152.381           
GPU 0     37                4                 0.457        0.435        0.228        0.091        0.230        72.745            
GPU 0     68                21                0.423        0.402        0.209        0.084        0.212        73.593            
GPU 0     82                46                0.379        0.360        0.187        0.075        0.190        120.010           
GPU 0     100               69                0.436        0.415        0.215        0.086        0.218        150.515           
GPU 0     100               78                0.443        0.423        0.220        0.090        0.225        164.244           
GPU 0     100               78                0.418        0.392        0.199        0.079        0.201        161.653           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     4                 0                 0.481        0.464        0.247        0.098        0.248        72.919            
GPU 0     75                38                0.408        0.386        0.199        0.080        0.202        88.769            
GPU 0     100               58                0.466        0.444        0.231        0.092        0.235        162.071           
GPU 0     0                 0                 0.494        0.472        0.247        0.107        0.250        73.135            
GPU 0     0                 0                 0.507        0.489        0.262        0.098        0.266        40.822            
GPU 0     0                 0                 0.119        0.115        0.058        0.021        0.051        40.529            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        40.236            
