#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        28.910            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.760            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.760            
GPU 0     50                9                 0.000        0.000        0.000        0.000        0.000        167.808           
GPU 0     59                11                0.255        0.235        0.109        0.001        0.027        79.459            
GPU 0     65                9                 0.616        0.568        0.247        0.003        0.087        136.517           
GPU 0     59                11                0.594        0.524        0.186        0.003        0.076        166.279           
GPU 0     59                11                0.622        0.571        0.245        0.003        0.089        167.715           
GPU 0     56                10                0.590        0.542        0.228        0.003        0.086        181.333           
GPU 0     56                8                 0.652        0.608        0.266        0.003        0.098        105.538           
GPU 0     79                14                0.644        0.589        0.246        0.003        0.091        90.819            
GPU 0     78                11                0.622        0.569        0.233        0.003        0.087        81.309            
GPU 0     75                15                0.652        0.598        0.240        0.003        0.094        80.397            
GPU 0     48                9                 0.625        0.570        0.233        0.003        0.089        193.382           
GPU 0     63                9                 0.657        0.610        0.263        0.003        0.097        170.990           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     67                11                0.598        0.525        0.185        0.002        0.077        86.616            
GPU 0     75                13                0.562        0.512        0.206        0.003        0.079        66.576            
GPU 0     50                9                 0.675        0.628        0.281        0.003        0.099        171.430           
GPU 0     69                10                0.635        0.576        0.236        0.003        0.089        127.263           
GPU 0     77                11                0.616        0.550        0.204        0.003        0.081        167.853           
GPU 0     62                11                0.639        0.576        0.211        0.003        0.086        169.816           
GPU 0     83                14                0.605        0.529        0.185        0.002        0.077        117.708           
GPU 0     87                14                0.665        0.613        0.247        0.003        0.093        166.026           
GPU 0     98                16                0.633        0.579        0.248        0.003        0.092        111.969           
GPU 0     96                16                0.662        0.609        0.258        0.003        0.092        85.754            
GPU 0     65                11                0.657        0.600        0.235        0.003        0.094        87.204            
GPU 0     22                4                 0.654        0.594        0.240        0.003        0.090        65.478            
GPU 0     0                 0                 0.573        0.516        0.197        0.003        0.078        36.327            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        36.132            
