#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        29.106            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.044            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.052            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.044            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.955            
GPU 0     61                11                0.500        0.467        0.208        0.002        0.064        165.934           
GPU 0     63                11                0.657        0.616        0.274        0.003        0.099        88.242            
GPU 0     70                12                0.654        0.612        0.272        0.003        0.098        176.037           
GPU 0     69                13                0.663        0.621        0.277        0.003        0.100        167.658           
GPU 0     59                11                0.664        0.620        0.276        0.003        0.100        167.065           
GPU 0     100               17                0.664        0.620        0.276        0.003        0.100        169.327           
GPU 0     80                14                0.665        0.622        0.278        0.003        0.101        83.434            
GPU 0     100               17                0.671        0.628        0.279        0.003        0.101        90.054            
GPU 0     73                13                0.670        0.628        0.278        0.003        0.101        167.849           
GPU 0     100               17                0.639        0.598        0.268        0.003        0.096        161.578           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     54                10                0.662        0.619        0.275        0.003        0.099        86.157            
GPU 0     52                10                0.629        0.590        0.261        0.003        0.095        101.466           
GPU 0     41                8                 0.639        0.597        0.265        0.003        0.097        188.616           
GPU 0     46                9                 0.662        0.620        0.276        0.003        0.100        95.697            
GPU 0     59                11                0.651        0.610        0.271        0.003        0.098        162.864           
GPU 0     52                10                0.616        0.578        0.258        0.003        0.092        74.949            
GPU 0     29                6                 0.639        0.598        0.266        0.003        0.097        168.930           
GPU 0     41                9                 0.645        0.603        0.268        0.003        0.097        84.039            
GPU 0     41                9                 0.655        0.613        0.273        0.003        0.099        81.246            
GPU 0     57                11                0.656        0.615        0.273        0.003        0.098        79.241            
GPU 0     43                8                 0.566        0.530        0.236        0.003        0.085        184.710           
GPU 0     83                15                0.622        0.583        0.262        0.003        0.094        81.946            
GPU 0     72                13                0.586        0.549        0.243        0.003        0.089        82.305            
GPU 0     78                13                0.573        0.537        0.238        0.003        0.086        84.284            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     45                8                 0.652        0.610        0.272        0.003        0.098        161.711           
GPU 0     80                15                0.641        0.599        0.269        0.003        0.096        95.862            
GPU 0     77                14                0.621        0.582        0.257        0.003        0.093        125.166           
GPU 0     30                7                 0.670        0.627        0.279        0.003        0.100        169.576           
GPU 0     0                 0                 0.661        0.619        0.275        0.003        0.099        36.925            
GPU 0     0                 0                 0.205        0.189        0.083        0.001        0.028        36.437            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        36.230            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        36.034            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.936            
