#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        29.528            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.373            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.373            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.373            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.373            
GPU 0     54                8                 0.000        0.000        0.000        0.000        0.000        127.844           
GPU 0     35                5                 0.218        0.185        0.057        0.001        0.021        64.222            
GPU 0     44                7                 0.296        0.243        0.064        0.001        0.035        66.004            
GPU 0     52                8                 0.292        0.239        0.064        0.001        0.034        66.492            
GPU 0     58                9                 0.377        0.314        0.091        0.001        0.045        96.082            
GPU 0     18                3                 0.287        0.236        0.064        0.001        0.033        78.599            
GPU 0     54                8                 0.277        0.228        0.062        0.001        0.033        107.267           
GPU 0     42                6                 0.353        0.291        0.079        0.001        0.041        62.331            
GPU 0     22                3                 0.289        0.239        0.067        0.001        0.034        105.587           
GPU 0     0                 0                 0.263        0.216        0.058        0.001        0.030        45.071            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     37                5                 0.269        0.220        0.057        0.001        0.031        74.955            
GPU 0     51                7                 0.335        0.276        0.075        0.001        0.039        76.832            
GPU 0     2                 0                 0.334        0.275        0.074        0.001        0.039        147.315           
GPU 0     49                7                 0.235        0.192        0.051        0.001        0.027        91.105            
GPU 0     28                4                 0.333        0.272        0.072        0.001        0.039        101.891           
GPU 0     44                7                 0.322        0.266        0.073        0.001        0.038        102.280           
GPU 0     25                4                 0.308        0.253        0.069        0.001        0.036        64.613            
GPU 0     40                6                 0.278        0.228        0.061        0.001        0.032        150.707           
GPU 0     13                2                 0.351        0.289        0.079        0.001        0.041        64.515            
GPU 0     47                7                 0.273        0.225        0.060        0.001        0.032        65.101            
GPU 0     40                6                 0.330        0.270        0.070        0.001        0.038        140.707           
GPU 0     0                 0                 0.292        0.241        0.065        0.001        0.034        36.375            
GPU 0     0                 0                 0.048        0.039        0.010        0.000        0.005        36.571            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        36.473            
