#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        32.403            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.244            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.146            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.244            
GPU 0     11                1                 0.056        0.046        0.019        0.008        0.015        66.096            
GPU 0     46                28                0.056        0.046        0.019        0.008        0.015        87.783            
GPU 0     78                45                0.301        0.265        0.128        0.050        0.127        71.440            
GPU 0     80                48                0.367        0.329        0.164        0.065        0.167        89.882            
GPU 0     4                 0                 0.394        0.355        0.179        0.070        0.181        166.302           
GPU 0     81                50                0.403        0.368        0.187        0.073        0.189        149.394           
GPU 0     89                63                0.362        0.322        0.158        0.061        0.158        73.179            
GPU 0     57                27                0.356        0.319        0.158        0.062        0.160        70.158            
GPU 0     1                 0                 0.414        0.383        0.198        0.079        0.202        70.256            
GPU 0     98                65                0.377        0.344        0.174        0.068        0.179        156.432           
GPU 0     6                 0                 0.414        0.378        0.193        0.076        0.196        70.757            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     10                1                 0.368        0.333        0.167        0.066        0.168        175.687           
GPU 0     39                25                0.390        0.351        0.174        0.066        0.173        132.443           
GPU 0     11                1                 0.381        0.345        0.174        0.069        0.177        70.647            
GPU 0     21                2                 0.394        0.364        0.187        0.075        0.192        71.659            
GPU 0     7                 1                 0.416        0.377        0.191        0.074        0.193        71.659            
GPU 0     79                54                0.424        0.385        0.195        0.076        0.197        159.585           
GPU 0     75                45                0.368        0.333        0.168        0.066        0.170        90.302            
GPU 0     9                 1                 0.381        0.344        0.173        0.068        0.175        71.659            
GPU 0     0                 0                 0.382        0.349        0.177        0.071        0.180        71.855            
GPU 0     0                 0                 0.397        0.366        0.187        0.076        0.191        71.367            
GPU 0     7                 1                 0.379        0.342        0.170        0.066        0.172        71.367            
GPU 0     98                71                0.413        0.381        0.195        0.076        0.200        92.121            
GPU 0     7                 1                 0.366        0.326        0.161        0.062        0.161        113.543           
GPU 0     3                 0                 0.390        0.354        0.179        0.071        0.182        149.746           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     17                7                 0.382        0.346        0.174        0.068        0.177        156.226           
GPU 0     13                1                 0.423        0.387        0.197        0.078        0.201        71.561            
GPU 0     0                 0                 0.387        0.351        0.177        0.070        0.178        199.131           
GPU 0     0                 0                 0.393        0.355        0.174        0.066        0.174        72.452            
GPU 0     45                18                0.355        0.317        0.158        0.064        0.159        71.757            
GPU 0     100               70                0.394        0.357        0.179        0.069        0.181        86.116            
GPU 0     0                 0                 0.369        0.332        0.166        0.064        0.168        72.354            
GPU 0     0                 0                 0.281        0.254        0.127        0.050        0.129        40.432            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        40.138            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.918            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.722            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.624            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.429            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.332            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.136            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.049            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.951            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.830            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.830            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.732            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.038            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.940            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.940            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.830            
