#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        29.044            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        30.532            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        30.532            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        37.363            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        37.570            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.559            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.559            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.570            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.559            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.559            
GPU 0     94                16                0.000        0.000        0.000        0.000        0.000        166.181           
GPU 0     95                20                0.768        0.751        0.319        0.001        0.112        165.497           
GPU 0     95                16                0.896        0.874        0.387        0.001        0.144        165.925           
GPU 0     100               21                0.964        0.941        0.427        0.001        0.144        158.806           
GPU 0     95                19                0.960        0.938        0.400        0.001        0.157        156.265           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     100               21                0.963        0.938        0.387        0.001        0.160        118.248           
GPU 0     96                21                0.959        0.944        0.402        0.001        0.156        168.673           
GPU 0     96                20                0.959        0.941        0.395        0.001        0.161        166.767           
GPU 0     100               21                0.948        0.926        0.386        0.001        0.163        189.217           
GPU 0     100               21                0.962        0.939        0.393        0.001        0.161        167.209           
GPU 0     96                18                0.958        0.940        0.403        0.001        0.155        164.993           
GPU 0     0                 0                 0.968        0.944        0.423        0.001        0.146        40.137            
GPU 0     0                 0                 0.304        0.294        0.131        0.000        0.042        39.746            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.539            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.135            
