#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        31.816            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.754            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.754            
GPU 0     45                5                 0.085        0.078        0.035        0.000        0.008        105.830           
GPU 0     56                9                 0.610        0.558        0.222        0.003        0.087        166.659           
GPU 0     65                10                0.648        0.596        0.233        0.003        0.090        198.977           
GPU 0     67                10                0.640        0.590        0.249        0.003        0.091        179.580           
GPU 0     79                13                0.553        0.484        0.162        0.002        0.071        179.871           
GPU 0     64                12                0.604        0.545        0.207        0.003        0.083        170.497           
GPU 0     61                11                0.614        0.552        0.210        0.003        0.081        84.474            
GPU 0     66                10                0.646        0.599        0.237        0.003        0.093        88.772            
GPU 0     76                11                0.646        0.599        0.237        0.003        0.093        164.357           
GPU 0     68                12                0.623        0.554        0.198        0.003        0.080        160.340           
GPU 0     57                9                 0.656        0.607        0.250        0.003        0.094        91.232            
GPU 0     66                11                0.609        0.541        0.196        0.003        0.078        175.602           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     72                14                0.631        0.564        0.203        0.003        0.083        91.076            
GPU 0     65                11                0.650        0.595        0.230        0.003        0.092        73.303            
GPU 0     80                13                0.619        0.576        0.254        0.003        0.091        87.811            
GPU 0     49                8                 0.637        0.583        0.234        0.003        0.091        73.400            
GPU 0     66                10                0.630        0.577        0.234        0.003        0.087        161.722           
GPU 0     57                10                0.652        0.593        0.227        0.003        0.088        92.731            
GPU 0     60                11                0.653        0.605        0.261        0.003        0.094        166.168           
GPU 0     67                10                0.642        0.587        0.231        0.003        0.088        77.753            
GPU 0     61                10                0.651        0.594        0.238        0.003        0.089        84.180            
GPU 0     91                15                0.646        0.593        0.242        0.003        0.092        199.682           
GPU 0     70                11                0.640        0.591        0.243        0.003        0.091        90.454            
GPU 0     42                8                 0.643        0.591        0.236        0.003        0.093        174.872           
GPU 0     0                 0                 0.653        0.605        0.266        0.003        0.095        40.528            
GPU 0     0                 0                 0.130        0.117        0.044        0.001        0.015        40.040            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        40.235            
