#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        28.702            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.857            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.858            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.858            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.940            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.848            
GPU 0     26                4                 0.000        0.000        0.000        0.000        0.000        92.806            
GPU 0     96                20                0.554        0.535        0.225        0.000        0.074        157.388           
GPU 0     95                15                0.852        0.796        0.286        0.001        0.104        174.385           
GPU 0     96                16                0.842        0.795        0.292        0.001        0.110        167.745           
GPU 0     72                9                 0.933        0.890        0.334        0.001        0.119        153.960           
GPU 0     96                17                0.910        0.856        0.328        0.001        0.116        165.498           
GPU 0     97                17                0.938        0.889        0.337        0.001        0.120        164.275           
GPU 0     96                15                0.906        0.863        0.315        0.001        0.115        165.791           
GPU 0     94                16                0.950        0.915        0.370        0.001        0.126        170.849           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     97                18                0.932        0.896        0.339        0.001        0.124        163.331           
GPU 0     97                18                0.935        0.894        0.346        0.001        0.120        174.230           
GPU 0     94                16                0.933        0.889        0.338        0.001        0.121        167.405           
GPU 0     95                14                0.954        0.921        0.358        0.001        0.126        145.933           
GPU 0     92                13                0.917        0.868        0.323        0.001        0.111        168.002           
GPU 0     97                17                0.923        0.880        0.339        0.001        0.118        165.497           
GPU 0     95                16                0.882        0.835        0.305        0.001        0.113        167.008           
GPU 0     69                9                 0.954        0.924        0.363        0.001        0.129        178.646           
GPU 0     84                12                0.862        0.813        0.310        0.001        0.105        155.011           
GPU 0     97                18                0.944        0.906        0.359        0.001        0.121        170.115           
GPU 0     94                13                0.932        0.896        0.351        0.001        0.122        140.843           
GPU 0     95                13                0.949        0.908        0.348        0.001        0.120        160.890           
GPU 0     96                17                0.894        0.835        0.281        0.001        0.104        168.442           
GPU 0     94                15                0.937        0.902        0.349        0.001        0.126        169.910           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     93                13                0.893        0.845        0.311        0.001        0.109        156.662           
GPU 0     0                 0                 0.942        0.899        0.338        0.001        0.119        37.622            
GPU 0     0                 0                 0.237        0.229        0.089        0.000        0.027        37.231            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        36.925            
