#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        29.430            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        30.825            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        30.727            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.962            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        37.863            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.864            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.875            
GPU 0     73                10                0.000        0.000        0.000        0.000        0.000        78.780            
GPU 0     31                6                 0.321        0.297        0.133        0.001        0.036        165.836           
GPU 0     38                8                 0.614        0.563        0.233        0.003        0.098        72.705            
GPU 0     68                14                0.651        0.599        0.249        0.003        0.105        127.049           
GPU 0     84                17                0.640        0.588        0.245        0.003        0.104        106.343           
GPU 0     71                14                0.651        0.598        0.250        0.003        0.106        164.830           
GPU 0     35                6                 0.645        0.593        0.247        0.003        0.104        91.300            
GPU 0     38                8                 0.636        0.587        0.242        0.003        0.102        93.511            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.610        0.560        0.233        0.003        0.098        39.649            
GPU 0     0                 0                 0.297        0.273        0.114        0.001        0.046        39.135            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.037            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.744            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.744            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.452            
