Timestamp, GPU_ID, Total_Memory_MB, Used_Memory_MB, Free_Memory_MB
2025-04-01 04:35:08, 0,  24576,  14211,  9839
2025-04-01 04:35:14, 0,  24576,  1,  24050
2025-04-01 04:35:19, 0,  24576,  1,  24050
2025-04-01 04:35:24, 0,  24576,  4,  24046
2025-04-01 04:35:29, 0,  24576,  2403,  21647
2025-04-01 04:35:34, 0,  24576,  2403,  21647
2025-04-01 04:35:39, 0,  24576,  2403,  21647
2025-04-01 04:35:44, 0,  24576,  2403,  21647
2025-04-01 04:35:49, 0,  24576,  2403,  21647
2025-04-01 04:35:54, 0,  24576,  12137,  11913
2025-04-01 04:35:59, 0,  24576,  13685,  10365
2025-04-01 04:36:04, 0,  24576,  13803,  10247
2025-04-01 04:36:09, 0,  24576,  13887,  10163
2025-04-01 04:36:14, 0,  24576,  13975,  10075
2025-04-01 04:36:19, 0,  24576,  14071,  9979
2025-04-01 04:36:24, 0,  24576,  14071,  9979
2025-04-01 04:36:29, 0,  24576,  14071,  9979
2025-04-01 04:36:34, 0,  24576,  14071,  9979
2025-04-01 04:36:39, 0,  24576,  14071,  9979
2025-04-01 04:36:44, 0,  24576,  14071,  9979
2025-04-01 04:36:49, 0,  24576,  14071,  9979
2025-04-01 04:36:54, 0,  24576,  14097,  9953
2025-04-01 04:37:00, 0,  24576,  14097,  9953
