#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        30.434            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        31.314            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        31.119            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        31.119            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        38.158            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.158            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.071            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.060            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.973            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.973            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.973            
GPU 0     28                4                 0.000        0.000        0.000        0.000        0.000        161.038           
GPU 0     58                8                 0.306        0.275        0.106        0.001        0.033        115.924           
GPU 0     70                10                0.400        0.333        0.094        0.001        0.046        77.571            
GPU 0     44                6                 0.467        0.394        0.121        0.002        0.054        186.798           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     49                7                 0.460        0.382        0.109        0.001        0.053        86.308            
GPU 0     71                10                0.434        0.363        0.109        0.001        0.051        153.291           
GPU 0     43                6                 0.519        0.438        0.135        0.002        0.061        86.213            
GPU 0     71                10                0.498        0.420        0.129        0.002        0.058        173.398           
GPU 0     49                7                 0.535        0.460        0.153        0.002        0.065        92.817            
GPU 0     39                5                 0.432        0.358        0.102        0.001        0.050        138.221           
GPU 0     69                10                0.431        0.359        0.106        0.001        0.050        128.577           
GPU 0     39                6                 0.503        0.425        0.132        0.002        0.059        69.794            
GPU 0     70                10                0.357        0.296        0.084        0.001        0.041        132.962           
GPU 0     59                9                 0.392        0.333        0.101        0.001        0.046        117.068           
GPU 0     36                5                 0.510        0.429        0.132        0.002        0.061        120.838           
GPU 0     52                7                 0.490        0.414        0.127        0.002        0.058        109.761           
GPU 0     65                9                 0.500        0.417        0.122        0.002        0.058        95.452            
GPU 0     66                10                0.406        0.337        0.095        0.001        0.047        181.249           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     65                10                0.429        0.362        0.110        0.001        0.051        173.979           
GPU 0     67                9                 0.504        0.425        0.131        0.002        0.059        173.202           
GPU 0     39                6                 0.453        0.379        0.110        0.002        0.053        71.456            
GPU 0     62                9                 0.389        0.324        0.095        0.001        0.046        106.067           
GPU 0     68                10                0.468        0.393        0.118        0.002        0.055        169.176           
GPU 0     52                7                 0.436        0.365        0.107        0.001        0.051        94.998            
GPU 0     0                 0                 0.475        0.401        0.125        0.002        0.056        39.539            
