#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        31.816            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.656            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.667            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.570            
GPU 0     86                12                0.346        0.333        0.130        0.000        0.038        146.104           
GPU 0     61                8                 0.790        0.716        0.228        0.001        0.092        143.488           
GPU 0     74                9                 0.821        0.735        0.221        0.001        0.085        88.174            
GPU 0     94                13                0.821        0.735        0.221        0.001        0.085        167.899           
GPU 0     85                11                0.845        0.799        0.287        0.001        0.104        171.036           
GPU 0     94                17                0.888        0.828        0.281        0.001        0.100        164.207           
GPU 0     94                14                0.819        0.764        0.251        0.001        0.095        172.220           
GPU 0     95                14                0.912        0.850        0.281        0.001        0.101        71.270            
GPU 0     98                17                0.883        0.822        0.278        0.001        0.101        168.880           
GPU 0     94                16                0.867        0.784        0.233        0.001        0.093        164.550           
GPU 0     94                16                0.861        0.786        0.245        0.001        0.094        177.608           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     95                14                0.893        0.835        0.283        0.001        0.104        158.314           
GPU 0     0                 0                 0.926        0.859        0.281        0.001        0.103        40.235            
GPU 0     0                 0                 0.399        0.377        0.138        0.000        0.045        40.137            
