#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        26.426            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        27.919            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        27.919            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        34.934            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.934            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.836            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.837            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.836            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.836            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.739            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.836            
GPU 0     96                17                0.000        0.000        0.000        0.000        0.000        162.927           
GPU 0     98                17                0.575        0.574        0.256        0.000        0.079        165.863           
GPU 0     95                17                0.961        0.951        0.425        0.001        0.152        165.683           
GPU 0     95                20                0.951        0.941        0.420        0.001        0.150        164.612           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     96                20                0.959        0.949        0.423        0.001        0.151        167.835           
GPU 0     96                19                0.964        0.954        0.426        0.001        0.152        165.184           
GPU 0     90                18                0.959        0.949        0.423        0.001        0.151        88.308            
GPU 0     95                20                0.954        0.944        0.421        0.001        0.150        165.140           
GPU 0     95                20                0.954        0.944        0.421        0.001        0.150        167.212           
GPU 0     100               22                0.956        0.946        0.422        0.001        0.150        168.328           
GPU 0     99                22                0.959        0.948        0.423        0.001        0.150        165.528           
GPU 0     100               17                0.960        0.950        0.423        0.001        0.150        167.050           
GPU 0     100               17                0.918        0.909        0.405        0.001        0.144        157.175           
GPU 0     93                19                0.960        0.950        0.424        0.001        0.150        168.029           
GPU 0     96                20                0.962        0.952        0.425        0.001        0.150        162.092           
GPU 0     93                20                0.958        0.948        0.423        0.001        0.149        179.310           
GPU 0     99                21                0.956        0.946        0.422        0.001        0.149        181.115           
GPU 0     95                19                0.961        0.951        0.424        0.001        0.150        163.023           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     95                18                0.940        0.926        0.360        0.001        0.151        161.116           
GPU 0     100               22                0.966        0.949        0.319        0.001        0.154        171.316           
GPU 0     100               20                0.959        0.941        0.319        0.001        0.152        178.426           
GPU 0     97                20                0.957        0.933        0.360        0.001        0.156        164.050           
GPU 0     100               21                0.962        0.932        0.391        0.001        0.161        166.527           
GPU 0     100               21                0.960        0.931        0.391        0.001        0.160        164.934           
GPU 0     95                20                0.966        0.936        0.394        0.001        0.161        169.173           
GPU 0     91                19                0.963        0.934        0.392        0.001        0.161        143.797           
GPU 0     93                19                0.967        0.937        0.394        0.001        0.161        166.271           
GPU 0     0                 0                 0.955        0.928        0.394        0.001        0.160        68.122            
GPU 0     0                 0                 0.564        0.550        0.176        0.000        0.095        37.013            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        36.719            
