#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        29.627            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        30.923            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        30.923            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        30.825            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.754            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        37.754            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.950            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.754            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.146            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.243            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.243            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.243            
GPU 0     36                5                 0.000        0.000        0.000        0.000        0.000        68.865            
GPU 0     93                12                0.471        0.422        0.133        0.000        0.042        148.626           
GPU 0     66                8                 0.735        0.646        0.177        0.000        0.075        164.453           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     85                11                0.577        0.499        0.124        0.000        0.057        167.096           
GPU 0     80                10                0.748        0.655        0.174        0.000        0.076        144.722           
GPU 0     75                10                0.730        0.639        0.171        0.000        0.073        79.899            
GPU 0     60                8                 0.727        0.633        0.163        0.000        0.073        143.825           
GPU 0     44                6                 0.701        0.606        0.150        0.000        0.070        164.751           
GPU 0     93                12                0.593        0.516        0.133        0.000        0.060        166.460           
GPU 0     95                13                0.625        0.537        0.125        0.000        0.062        141.266           
GPU 0     60                8                 0.665        0.583        0.153        0.000        0.067        165.358           
GPU 0     67                8                 0.630        0.540        0.125        0.000        0.062        153.649           
GPU 0     45                6                 0.805        0.705        0.186        0.000        0.080        77.836            
GPU 0     46                6                 0.701        0.608        0.152        0.000        0.070        151.733           
GPU 0     81                10                0.674        0.585        0.146        0.000        0.067        149.832           
GPU 0     37                5                 0.740        0.648        0.171        0.000        0.074        157.954           
GPU 0     0                 0                 0.755        0.660        0.174        0.000        0.075        41.910            
