Timestamp, GPU_ID, Total_Memory_MB, Used_Memory_MB, Free_Memory_MB
2025-03-31 23:48:59, 0,  24576,  1,  24050
2025-03-31 23:49:04, 0,  24576,  1,  24050
2025-03-31 23:49:09, 0,  24576,  1,  24050
2025-03-31 23:49:14, 0,  24576,  4,  24046
2025-03-31 23:49:19, 0,  24576,  1439,  22611
2025-03-31 23:49:25, 0,  24576,  1439,  22611
2025-03-31 23:49:30, 0,  24576,  1439,  22611
2025-03-31 23:49:35, 0,  24576,  1439,  22611
2025-03-31 23:49:40, 0,  24576,  1439,  22611
2025-03-31 23:49:45, 0,  24576,  1439,  22611
2025-03-31 23:49:50, 0,  24576,  1439,  22611
2025-03-31 23:49:55, 0,  24576,  1439,  22611
2025-03-31 23:50:00, 0,  24576,  12415,  11635
2025-03-31 23:50:05, 0,  24576,  12415,  11635
2025-03-31 23:50:10, 0,  24576,  12415,  11635
2025-03-31 23:50:15, 0,  24576,  12415,  11635
2025-03-31 23:50:20, 0,  24576,  12415,  11635
2025-03-31 23:50:25, 0,  24576,  12415,  11635
2025-03-31 23:50:30, 0,  24576,  12415,  11635
2025-03-31 23:50:35, 0,  24576,  12415,  11635
2025-03-31 23:50:40, 0,  24576,  12415,  11635
2025-03-31 23:50:45, 0,  24576,  12415,  11635
2025-03-31 23:50:50, 0,  24576,  12415,  11635
2025-03-31 23:50:55, 0,  24576,  12415,  11635
2025-03-31 23:51:01, 0,  24576,  12415,  11635
2025-03-31 23:51:06, 0,  24576,  12415,  11635
2025-03-31 23:51:11, 0,  24576,  12415,  11635
2025-03-31 23:51:16, 0,  24576,  12415,  11635
2025-03-31 23:51:21, 0,  24576,  12415,  11635
