#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        31.811            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.001        30.936            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        31.132            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        30.936            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        37.861            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.861            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.354            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.354            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.354            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.354            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.363            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.363            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.461            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.363            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.461            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.461            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.354            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.363            
GPU 0     12                1                 0.000        0.000        0.000        0.000        0.000        91.276            
GPU 0     51                8                 0.065        0.058        0.024        0.000        0.006        94.287            
GPU 0     60                9                 0.614        0.556        0.214        0.002        0.085        106.118           
GPU 0     50                7                 0.541        0.469        0.156        0.002        0.066        139.578           
GPU 0     60                9                 0.494        0.418        0.129        0.002        0.058        184.507           
GPU 0     58                8                 0.559        0.482        0.158        0.002        0.068        152.887           
GPU 0     64                10                0.573        0.495        0.160        0.002        0.069        123.051           
GPU 0     65                10                0.542        0.470        0.159        0.002        0.066        87.507            
GPU 0     40                6                 0.543        0.478        0.165        0.002        0.067        82.389            
GPU 0     71                10                0.490        0.420        0.134        0.002        0.061        80.834            
GPU 0     54                8                 0.505        0.434        0.145        0.002        0.060        150.955           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.564        0.496        0.184        0.002        0.071        40.249            
GPU 0     0                 0                 0.237        0.212        0.078        0.001        0.028        39.255            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.258            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.855            
