Step,TotalRequests,AvgLatency_ms,Throughput_reqPerSec
Ingress,6000,614.891,106.2285329839595
StepA,6000,21.6965,106.90042225666791
StepB,6000,125.69516666666667,106.7482697884605
StepD,6000,30.4345,107.20794768252154
StepE,6000,218.475,107.12564052205896
