#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        29.326            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.080            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.982            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.982            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.982            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.982            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.982            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.080            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.080            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.177            
GPU 0     35                23                0.000        0.000        0.000        0.000        0.000        189.121           
GPU 0     30                19                0.144        0.133        0.071        0.032        0.056        182.815           
GPU 0     61                39                0.483        0.442        0.252        0.098        0.247        157.989           
GPU 0     93                59                0.664        0.595        0.340        0.131        0.325        63.027            
GPU 0     71                42                0.657        0.595        0.342        0.130        0.331        95.453            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     23                13                0.558        0.507        0.290        0.112        0.280        65.906            
GPU 0     10                4                 0.610        0.551        0.317        0.120        0.306        192.305           
GPU 0     59                37                0.601        0.535        0.308        0.115        0.295        62.429            
GPU 0     48                35                0.610        0.544        0.312        0.118        0.300        178.538           
GPU 0     70                39                0.572        0.516        0.294        0.113        0.283        171.799           
GPU 0     35                16                0.570        0.518        0.295        0.115        0.288        177.269           
GPU 0     62                39                0.551        0.499        0.285        0.110        0.275        187.705           
GPU 0     41                27                0.611        0.544        0.311        0.119        0.297        120.555           
GPU 0     81                46                0.589        0.530        0.303        0.117        0.293        156.815           
GPU 0     58                33                0.610        0.545        0.313        0.118        0.301        171.931           
GPU 0     74                46                0.630        0.574        0.327        0.127        0.315        175.229           
GPU 0     42                21                0.599        0.531        0.303        0.115        0.289        187.133           
GPU 0     47                27                0.555        0.488        0.279        0.106        0.265        65.308            
GPU 0     35                23                0.634        0.559        0.321        0.120        0.306        105.361           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     38                22                0.532        0.476        0.272        0.105        0.261        119.657           
GPU 0     76                46                0.588        0.524        0.299        0.113        0.286        98.218            
GPU 0     0                 0                 0.565        0.504        0.288        0.109        0.277        37.060            
GPU 0     0                 0                 0.262        0.233        0.134        0.051        0.118        36.668            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        36.864            
