#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        32.207            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.852            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.852            
GPU 0     94                20                0.777        0.758        0.316        0.001        0.119        164.606           
GPU 0     95                20                0.961        0.938        0.393        0.001        0.162        167.813           
GPU 0     95                20                0.959        0.936        0.392        0.001        0.162        172.526           
GPU 0     100               21                0.959        0.936        0.392        0.001        0.162        164.952           
GPU 0     96                20                0.966        0.943        0.395        0.001        0.162        163.522           
GPU 0     100               21                0.963        0.939        0.393        0.001        0.162        130.173           
GPU 0     100               21                0.961        0.938        0.393        0.001        0.161        166.664           
GPU 0     96                21                0.958        0.935        0.392        0.001        0.161        170.054           
GPU 0     100               21                0.966        0.943        0.395        0.001        0.162        165.378           
GPU 0     95                20                0.952        0.929        0.389        0.001        0.159        161.254           
GPU 0     100               22                0.962        0.939        0.393        0.001        0.161        165.490           
GPU 0     100               21                0.956        0.934        0.391        0.001        0.160        167.701           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     94                20                0.834        0.815        0.341        0.001        0.141        163.036           
GPU 0     95                20                0.947        0.924        0.387        0.001        0.158        171.435           
GPU 0     93                20                0.956        0.933        0.390        0.001        0.159        167.840           
GPU 0     100               21                0.955        0.932        0.390        0.001        0.159        131.678           
GPU 0     88                19                0.966        0.943        0.395        0.001        0.161        166.276           
GPU 0     95                20                0.954        0.932        0.390        0.001        0.159        161.308           
GPU 0     95                20                0.958        0.935        0.391        0.001        0.159        166.865           
GPU 0     100               21                0.961        0.938        0.392        0.001        0.159        167.119           
GPU 0     96                20                0.944        0.922        0.386        0.001        0.157        169.861           
GPU 0     100               21                0.968        0.944        0.395        0.001        0.160        163.575           
GPU 0     100               21                0.963        0.940        0.393        0.001        0.159        182.355           
GPU 0     100               21                0.964        0.941        0.393        0.001        0.160        167.550           
GPU 0     93                19                0.956        0.934        0.391        0.001        0.159        163.824           
GPU 0     100               21                0.953        0.930        0.389        0.001        0.158        163.077           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     92                20                0.949        0.925        0.387        0.001        0.157        168.923           
GPU 0     100               21                0.951        0.929        0.388        0.001        0.158        169.564           
GPU 0     94                20                0.952        0.930        0.389        0.001        0.158        144.086           
GPU 0     94                20                0.939        0.916        0.383        0.001        0.156        175.700           
GPU 0     100               21                0.847        0.826        0.346        0.001        0.142        165.150           
GPU 0     0                 0                 0.954        0.932        0.390        0.001        0.158        42.411            
GPU 0     0                 0                 0.514        0.500        0.209        0.000        0.083        41.922            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        41.421            
