#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        32.671            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.629            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.531            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.531            
GPU 0     13                1                 0.194        0.165        0.077        0.031        0.073        183.942           
GPU 0     50                31                0.352        0.311        0.152        0.060        0.155        160.190           
GPU 0     9                 1                 0.419        0.392        0.201        0.080        0.205        69.151            
GPU 0     0                 0                 0.419        0.389        0.199        0.080        0.202        69.540            
GPU 0     82                56                0.419        0.389        0.199        0.080        0.202        159.854           
GPU 0     35                3                 0.454        0.424        0.217        0.085        0.220        70.248            
GPU 0     55                15                0.399        0.371        0.189        0.075        0.192        70.632            
GPU 0     73                50                0.430        0.399        0.205        0.081        0.209        98.682            
GPU 0     17                8                 0.451        0.422        0.214        0.086        0.217        211.474           
GPU 0     77                45                0.443        0.419        0.219        0.089        0.224        158.291           
GPU 0     15                2                 0.409        0.375        0.188        0.074        0.191        71.217            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     100               73                0.464        0.432        0.221        0.087        0.222        162.663           
GPU 0     100               80                0.438        0.416        0.218        0.088        0.224        167.621           
GPU 0     10                1                 0.460        0.434        0.225        0.089        0.227        72.114            
GPU 0     46                28                0.383        0.342        0.168        0.065        0.168        160.047           
GPU 0     7                 3                 0.438        0.399        0.200        0.078        0.200        153.214           
GPU 0     98                57                0.442        0.417        0.215        0.086        0.218        79.600            
GPU 0     0                 0                 0.361        0.327        0.163        0.064        0.165        72.703            
GPU 0     83                49                0.407        0.372        0.187        0.076        0.189        89.502            
GPU 0     9                 1                 0.413        0.379        0.189        0.073        0.191        81.734            
GPU 0     52                5                 0.279        0.250        0.124        0.049        0.126        73.963            
GPU 0     0                 0                 0.400        0.368        0.186        0.073        0.189        73.191            
GPU 0     95                55                0.467        0.440        0.229        0.093        0.230        166.974           
GPU 0     83                51                0.455        0.434        0.225        0.089        0.229        153.798           
GPU 0     98                64                0.537        0.520        0.281        0.114        0.290        88.311            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     100               71                0.394        0.362        0.180        0.071        0.182        98.819            
GPU 0     90                53                0.361        0.324        0.159        0.064        0.158        82.746            
GPU 0     15                1                 0.395        0.354        0.176        0.069        0.176        73.865            
GPU 0     7                 3                 0.447        0.421        0.217        0.089        0.223        73.767            
GPU 0     0                 0                 0.424        0.392        0.200        0.081        0.204        41.796            
GPU 0     0                 0                 0.246        0.234        0.121        0.047        0.117        41.416            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        41.100            
