#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        29.044            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        37.765            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.754            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.754            
GPU 0     96                16                0.650        0.633        0.268        0.000        0.083        164.509           
GPU 0     97                15                0.955        0.919        0.378        0.001        0.133        165.781           
GPU 0     94                18                0.900        0.867        0.342        0.001        0.133        164.662           
GPU 0     100               17                0.900        0.867        0.342        0.001        0.133        164.605           
GPU 0     97                16                0.963        0.938        0.404        0.001        0.140        170.261           
GPU 0     100               21                0.923        0.881        0.346        0.001        0.118        169.073           
GPU 0     97                19                0.963        0.944        0.415        0.001        0.141        164.497           
GPU 0     96                16                0.950        0.909        0.362        0.001        0.129        147.276           
GPU 0     97                16                0.949        0.920        0.380        0.001        0.138        166.664           
GPU 0     95                16                0.964        0.943        0.405        0.001        0.144        161.414           
GPU 0     97                16                0.941        0.912        0.389        0.001        0.133        118.083           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     97                19                0.959        0.934        0.389        0.001        0.137        167.064           
GPU 0     97                19                0.962        0.937        0.401        0.001        0.141        166.470           
GPU 0     78                16                0.966        0.935        0.401        0.001        0.140        170.067           
GPU 0     95                17                0.952        0.926        0.384        0.001        0.141        167.452           
GPU 0     95                18                0.960        0.933        0.402        0.001        0.137        165.113           
GPU 0     100               17                0.956        0.928        0.407        0.001        0.136        171.578           
GPU 0     100               21                0.810        0.774        0.292        0.001        0.110        152.317           
GPU 0     24                3                 0.676        0.635        0.232        0.000        0.085        74.889            
GPU 0     87                14                0.635        0.608        0.238        0.000        0.087        164.696           
GPU 0     95                20                0.662        0.622        0.221        0.000        0.082        165.193           
GPU 0     96                13                0.830        0.798        0.321        0.001        0.117        170.685           
GPU 0     97                19                0.702        0.670        0.254        0.000        0.094        163.444           
GPU 0     97                16                0.779        0.737        0.275        0.001        0.100        142.553           
GPU 0     96                16                0.772        0.739        0.285        0.001        0.106        139.062           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     98                16                0.789        0.755        0.292        0.001        0.106        163.532           
GPU 0     96                15                0.879        0.847        0.345        0.001        0.117        123.755           
GPU 0     0                 0                 0.770        0.737        0.284        0.001        0.103        75.103            
GPU 0     0                 0                 0.094        0.080        0.017        0.000        0.009        41.018            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        40.638            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        40.332            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        40.040            
