#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        26.433            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        27.828            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        27.724            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        34.858            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.564            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.760            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.564            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.751            
GPU 0     93                20                0.000        0.000        0.000        0.000        0.000        165.597           
GPU 0     94                20                0.211        0.206        0.085        0.000        0.026        164.023           
GPU 0     100               22                0.947        0.920        0.367        0.001        0.151        168.336           
GPU 0     95                18                0.938        0.915        0.385        0.001        0.159        166.926           
GPU 0     100               22                0.943        0.924        0.394        0.001        0.157        167.151           
GPU 0     100               21                0.957        0.932        0.416        0.001        0.148        164.022           
GPU 0     95                20                0.958        0.935        0.400        0.001        0.154        170.404           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     97                21                0.965        0.950        0.405        0.001        0.160        153.946           
GPU 0     100               21                0.962        0.944        0.396        0.001        0.161        164.182           
GPU 0     100               22                0.962        0.938        0.418        0.001        0.148        167.061           
GPU 0     100               17                0.965        0.941        0.423        0.001        0.147        166.830           
GPU 0     100               17                0.969        0.944        0.425        0.001        0.148        174.519           
GPU 0     96                16                0.963        0.939        0.423        0.001        0.146        163.634           
GPU 0     95                18                0.963        0.939        0.423        0.001        0.146        159.894           
GPU 0     94                19                0.966        0.942        0.424        0.001        0.147        163.733           
GPU 0     95                17                0.945        0.921        0.413        0.001        0.145        168.597           
GPU 0     100               17                0.963        0.939        0.422        0.001        0.147        142.334           
GPU 0     100               17                0.962        0.937        0.422        0.001        0.146        162.446           
GPU 0     94                17                0.960        0.936        0.422        0.001        0.145        177.114           
GPU 0     98                21                0.966        0.942        0.424        0.001        0.146        166.219           
GPU 0     95                18                0.958        0.934        0.419        0.001        0.146        167.655           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     100               17                0.961        0.937        0.420        0.001        0.146        110.265           
GPU 0     100               17                0.963        0.939        0.422        0.001        0.146        163.829           
GPU 0     100               21                0.964        0.940        0.423        0.001        0.145        178.107           
GPU 0     95                20                0.962        0.938        0.423        0.001        0.145        163.330           
GPU 0     94                17                0.965        0.941        0.422        0.001        0.146        166.820           
GPU 0     100               17                0.961        0.937        0.420        0.001        0.146        90.189            
GPU 0     94                16                0.962        0.938        0.422        0.001        0.145        169.123           
GPU 0     0                 0                 0.956        0.932        0.420        0.001        0.144        68.454            
GPU 0     0                 0                 0.589        0.571        0.250        0.000        0.089        37.622            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.329            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.023            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        36.535            
