#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     N/A               N/A               0.000        0.000        0.000        0.000        0.000        29.190            
GPU 0     N/A               N/A               0.000        0.000        0.000        0.000        0.000        64.200            
GPU 0     N/A               N/A               0.000        0.000        0.000        0.000        0.000        64.395            
GPU 0     N/A               N/A               0.000        0.000        0.000        0.000        0.000        64.505            
GPU 0     N/A               N/A               0.433        0.380        0.211        0.008        0.123        114.564           
GPU 0     N/A               N/A               0.512        0.444        0.250        0.010        0.146        98.967            
GPU 0     N/A               N/A               0.504        0.437        0.244        0.010        0.143        115.254           
GPU 0     N/A               N/A               0.510        0.442        0.249        0.010        0.145        108.079           
GPU 0     N/A               N/A               0.500        0.433        0.244        0.010        0.143        102.820           
GPU 0     N/A               N/A               0.532        0.463        0.261        0.011        0.152        118.076           
GPU 0     N/A               N/A               0.532        0.463        0.261        0.011        0.152        117.140           
GPU 0     N/A               N/A               0.534        0.464        0.260        0.011        0.154        114.719           
GPU 0     N/A               N/A               0.528        0.458        0.257        0.011        0.150        114.236           
GPU 0     N/A               N/A               0.521        0.453        0.253        0.010        0.148        125.702           
GPU 0     N/A               N/A               0.496        0.431        0.240        0.010        0.141        116.204           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     N/A               N/A               0.529        0.459        0.257        0.011        0.151        65.263            
GPU 0     N/A               N/A               0.453        0.394        0.222        0.009        0.129        64.895            
