#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        32.305            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.048            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.950            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.950            
GPU 0     57                35                0.217        0.189        0.091        0.037        0.078        160.511           
GPU 0     21                10                0.382        0.349        0.177        0.072        0.180        164.887           
GPU 0     21                2                 0.382        0.349        0.177        0.072        0.180        67.975            
GPU 0     38                22                0.389        0.359        0.181        0.068        0.182        170.438           
GPU 0     40                13                0.503        0.474        0.251        0.100        0.255        69.670            
GPU 0     25                12                0.403        0.370        0.184        0.071        0.182        173.381           
GPU 0     1                 0                 0.459        0.425        0.221        0.088        0.224        70.061            
GPU 0     50                14                0.442        0.418        0.216        0.084        0.217        70.854            
GPU 0     42                27                0.595        0.576        0.309        0.122        0.311        172.606           
GPU 0     100               70                0.508        0.483        0.253        0.101        0.255        175.883           
GPU 0     35                18                0.445        0.421        0.219        0.091        0.224        165.572           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.450        0.417        0.213        0.080        0.213        71.147            
GPU 0     1                 0                 0.420        0.389        0.196        0.079        0.198        71.464            
GPU 0     0                 0                 0.446        0.425        0.221        0.088        0.224        71.561            
GPU 0     67                29                0.397        0.366        0.184        0.071        0.188        91.827            
GPU 0     78                45                0.345        0.311        0.154        0.060        0.156        71.159            
GPU 0     10                1                 0.447        0.423        0.220        0.088        0.223        155.238           
GPU 0     0                 0                 0.415        0.382        0.193        0.076        0.194        71.854            
GPU 0     26                13                0.394        0.366        0.184        0.073        0.182        183.826           
GPU 0     94                60                0.368        0.334        0.169        0.066        0.172        79.824            
GPU 0     69                25                0.425        0.393        0.199        0.077        0.202        72.339            
GPU 0     65                44                0.322        0.294        0.146        0.057        0.148        69.579            
GPU 0     100               78                0.388        0.347        0.172        0.068        0.175        163.171           
GPU 0     70                29                0.364        0.339        0.174        0.067        0.168        80.823            
GPU 0     29                9                 0.406        0.371        0.186        0.074        0.190        72.257            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     100               67                0.435        0.403        0.205        0.082        0.208        164.249           
GPU 0     0                 0                 0.477        0.446        0.232        0.092        0.234        72.452            
GPU 0     2                 0                 0.430        0.403        0.208        0.083        0.211        218.133           
GPU 0     100               82                0.431        0.400        0.204        0.080        0.206        163.456           
GPU 0     0                 0                 0.402        0.362        0.181        0.079        0.183        72.550            
GPU 0     0                 0                 0.341        0.328        0.180        0.061        0.187        40.432            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        40.236            
