#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        29.529            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        31.021            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        31.021            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        31.021            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.048            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        37.950            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.048            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.960            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.950            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.058            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.048            
GPU 0     95                20                0.000        0.000        0.000        0.000        0.000        102.792           
GPU 0     95                19                0.412        0.401        0.167        0.000        0.054        165.958           
GPU 0     96                20                0.958        0.938        0.411        0.001        0.147        169.165           
GPU 0     100               21                0.967        0.943        0.408        0.001        0.156        159.577           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     95                19                0.963        0.939        0.405        0.001        0.152        168.125           
GPU 0     93                20                0.965        0.942        0.423        0.001        0.147        170.281           
GPU 0     100               17                0.958        0.933        0.403        0.001        0.145        162.723           
GPU 0     96                19                0.961        0.937        0.422        0.001        0.145        164.190           
GPU 0     100               21                0.964        0.942        0.420        0.001        0.145        168.076           
GPU 0     100               21                0.964        0.940        0.397        0.001        0.159        167.144           
GPU 0     96                16                0.969        0.946        0.403        0.001        0.158        169.841           
GPU 0     0                 0                 0.967        0.943        0.420        0.001        0.147        73.386            
GPU 0     0                 0                 0.698        0.680        0.310        0.001        0.105        41.311            
