#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        30.774            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        36.419            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        36.419            
GPU 0     54                21                0.053        0.040        0.015        0.007        0.013        70.775            
GPU 0     59                30                0.053        0.040        0.015        0.007        0.013        75.407            
GPU 0     3                 0                 0.318        0.283        0.140        0.054        0.140        62.898            
GPU 0     18                9                 0.354        0.326        0.167        0.066        0.166        167.554           
GPU 0     85                45                0.385        0.345        0.176        0.068        0.178        161.628           
GPU 0     72                36                0.444        0.422        0.222        0.085        0.222        63.691            
GPU 0     100               75                0.440        0.409        0.211        0.083        0.209        164.999           
GPU 0     0                 0                 0.400        0.357        0.179        0.068        0.181        65.069            
GPU 0     89                49                0.436        0.407        0.212        0.084        0.212        168.390           
GPU 0     17                1                 0.462        0.436        0.228        0.096        0.228        65.678            
GPU 0     0                 0                 0.446        0.417        0.219        0.077        0.221        65.660            
GPU 0     70                33                0.451        0.421        0.216        0.087        0.217        78.748            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.383        0.347        0.177        0.066        0.177        94.736            
GPU 0     13                1                 0.408        0.374        0.191        0.077        0.193        65.953            
GPU 0     71                26                0.413        0.381        0.194        0.074        0.195        115.233           
GPU 0     39                22                0.441        0.412        0.213        0.083        0.212        78.054            
GPU 0     14                1                 0.413        0.378        0.195        0.075        0.193        66.453            
GPU 0     0                 0                 0.339        0.305        0.152        0.058        0.153        66.648            
GPU 0     0                 0                 0.463        0.443        0.235        0.093        0.237        66.746            
GPU 0     4                 0                 0.368        0.336        0.169        0.066        0.171        186.065           
GPU 0     0                 0                 0.562        0.538        0.288        0.113        0.286        66.472            
GPU 0     0                 0                 0.198        0.167        0.078        0.030        0.078        66.746            
GPU 0     31                17                0.470        0.433        0.224        0.088        0.226        150.942           
GPU 0     0                 0                 0.437        0.407        0.207        0.082        0.208        66.959            
GPU 0     72                35                0.388        0.358        0.184        0.073        0.184        69.396            
GPU 0     30                16                0.419        0.391        0.200        0.077        0.201        66.167            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     100               72                0.373        0.345        0.178        0.070        0.181        166.215           
GPU 0     1                 0                 0.443        0.407        0.208        0.080        0.206        67.312            
GPU 0     22                2                 0.445        0.417        0.217        0.087        0.220        67.506            
GPU 0     100               78                0.408        0.372        0.190        0.073        0.191        162.203           
GPU 0     0                 0                 0.482        0.452        0.236        0.093        0.237        38.596            
GPU 0     0                 0                 0.076        0.072        0.039        0.016        0.033        38.303            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.019            
