#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        28.995            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.002        27.919            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        28.017            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        27.821            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.130            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        35.033            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.033            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.033            
GPU 0     58                9                 0.000        0.000        0.000        0.000        0.000        166.023           
GPU 0     72                10                0.106        0.096        0.040        0.000        0.010        111.418           
GPU 0     73                12                0.579        0.506        0.184        0.002        0.073        139.279           
GPU 0     33                5                 0.593        0.518        0.179        0.002        0.073        67.718            
GPU 0     67                10                0.592        0.530        0.193        0.002        0.078        170.487           
GPU 0     75                13                0.648        0.588        0.218        0.002        0.088        89.360            
GPU 0     58                10                0.634        0.559        0.199        0.002        0.080        62.511            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     71                12                0.611        0.542        0.200        0.002        0.078        179.006           
GPU 0     66                10                0.573        0.501        0.179        0.002        0.072        164.948           
GPU 0     63                10                0.602        0.527        0.182        0.002        0.076        75.122            
GPU 0     67                10                0.649        0.590        0.225        0.003        0.091        93.189            
GPU 0     69                11                0.620        0.555        0.201        0.002        0.081        80.606            
GPU 0     64                11                0.636        0.579        0.218        0.003        0.088        109.263           
GPU 0     74                11                0.659        0.602        0.231        0.003        0.093        172.791           
GPU 0     70                12                0.609        0.534        0.186        0.002        0.077        93.902            
GPU 0     75                13                0.652        0.591        0.216        0.003        0.085        66.282            
GPU 0     59                8                 0.608        0.542        0.202        0.002        0.078        76.776            
GPU 0     0                 0                 0.581        0.504        0.170        0.002        0.072        35.742            
