#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        32.216            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.959            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.665            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.665            
GPU 0     67                9                 0.000        0.000        0.000        0.000        0.000        111.593           
GPU 0     38                5                 0.298        0.261        0.093        0.001        0.030        75.994            
GPU 0     62                9                 0.443        0.374        0.117        0.002        0.053        99.676            
GPU 0     61                9                 0.437        0.364        0.105        0.002        0.051        100.479           
GPU 0     40                6                 0.468        0.394        0.122        0.002        0.056        162.324           
GPU 0     50                8                 0.341        0.282        0.078        0.001        0.040        177.818           
GPU 0     28                4                 0.541        0.463        0.151        0.002        0.066        140.493           
GPU 0     42                6                 0.381        0.316        0.089        0.001        0.045        92.036            
GPU 0     68                9                 0.532        0.449        0.137        0.002        0.063        142.613           
GPU 0     60                9                 0.399        0.333        0.098        0.001        0.047        91.138            
GPU 0     37                5                 0.386        0.321        0.093        0.001        0.046        161.417           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     48                7                 0.403        0.337        0.099        0.002        0.047        90.594            
GPU 0     71                11                0.423        0.353        0.104        0.002        0.050        110.126           
GPU 0     20                3                 0.470        0.401        0.123        0.002        0.057        71.866            
GPU 0     20                3                 0.385        0.322        0.093        0.001        0.045        71.964            
GPU 0     73                10                0.390        0.332        0.104        0.002        0.047        75.701            
GPU 0     49                7                 0.469        0.398        0.120        0.002        0.057        72.160            
GPU 0     39                6                 0.417        0.348        0.100        0.002        0.049        72.367            
GPU 0     56                9                 0.454        0.379        0.111        0.002        0.054        71.172            
GPU 0     20                3                 0.400        0.336        0.099        0.001        0.047        71.671            
GPU 0     67                10                0.444        0.368        0.104        0.002        0.052        146.154           
GPU 0     30                5                 0.489        0.412        0.125        0.002        0.059        86.352            
GPU 0     0                 0                 0.438        0.368        0.110        0.002        0.052        40.543            
