#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.028        33.415            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.002        31.132            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        31.126            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        31.034            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        38.571            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        38.167            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.549            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.461            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.452            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.571            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.461            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.452            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.452            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.452            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.461            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.461            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.452            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.452            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.461            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.452            
GPU 0     8                 0                 0.000        0.000        0.000        0.000        0.000        38.571            
GPU 0     60                9                 0.013        0.009        0.002        0.000        0.001        106.201           
GPU 0     55                8                 0.544        0.475        0.161        0.002        0.068        116.034           
GPU 0     59                8                 0.408        0.334        0.087        0.001        0.047        112.320           
GPU 0     66                10                0.442        0.371        0.110        0.001        0.052        162.127           
GPU 0     49                7                 0.529        0.462        0.159        0.002        0.063        145.503           
GPU 0     74                11                0.420        0.350        0.101        0.001        0.049        176.709           
GPU 0     38                5                 0.435        0.368        0.115        0.002        0.051        165.968           
GPU 0     58                8                 0.483        0.407        0.123        0.002        0.057        149.309           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     64                9                 0.345        0.286        0.079        0.001        0.040        82.497            
GPU 0     65                10                0.436        0.362        0.102        0.001        0.051        75.702            
GPU 0     57                8                 0.451        0.384        0.123        0.002        0.053        80.316            
GPU 0     64                10                0.470        0.394        0.118        0.002        0.055        83.583            
GPU 0     61                9                 0.450        0.377        0.113        0.002        0.053        132.345           
GPU 0     0                 0                 0.473        0.400        0.122        0.002        0.055        71.367            
GPU 0     0                 0                 0.409        0.343        0.104        0.001        0.048        40.249            
